ChildID,Article,PaperArticle,NumPages
DemoArticleID261,ArticleID261,GArticleID261,35
DemoArticleID267,ArticleID267,GArticleID267,13
DemoArticleID269,ArticleID269,GArticleID269,20
DemoArticleID270,ArticleID270,GArticleID270,14
DemoArticleID271,ArticleID271,GArticleID271,13
DemoArticleID275,ArticleID275,GArticleID275,7
DemoArticleID279,ArticleID279,GArticleID279,19
DemoArticleID281,ArticleID281,GArticleID281,40
DemoArticleID283,ArticleID283,GArticleID283,37
DemoArticleID297,ArticleID297,GArticleID297,40
DemoArticleID298,ArticleID298,GArticleID298,5
DemoArticleID300,ArticleID300,GArticleID300,28
DemoArticleID301,ArticleID301,GArticleID301,39
DemoArticleID304,ArticleID304,GArticleID304,14
DemoArticleID307,ArticleID307,GArticleID307,40
DemoArticleID308,ArticleID308,GArticleID308,16
DemoArticleID313,ArticleID313,GArticleID313,24
DemoArticleID314,ArticleID314,GArticleID314,38
DemoArticleID315,ArticleID315,GArticleID315,23
DemoArticleID316,ArticleID316,GArticleID316,28
DemoArticleID321,ArticleID321,GArticleID321,39
DemoArticleID324,ArticleID324,GArticleID324,40
DemoArticleID329,ArticleID329,GArticleID329,19
DemoArticleID331,ArticleID331,GArticleID331,35
DemoArticleID333,ArticleID333,GArticleID333,32
DemoArticleID335,ArticleID335,GArticleID335,36
DemoArticleID341,ArticleID341,GArticleID341,33
DemoArticleID342,ArticleID342,GArticleID342,10
DemoArticleID343,ArticleID343,GArticleID343,23
DemoArticleID346,ArticleID346,GArticleID346,7
DemoArticleID349,ArticleID349,GArticleID349,40
DemoArticleID356,ArticleID356,GArticleID356,23
DemoArticleID359,ArticleID359,GArticleID359,17
DemoArticleID364,ArticleID364,GArticleID364,11
DemoArticleID366,ArticleID366,GArticleID366,40
DemoArticleID368,ArticleID368,GArticleID368,28
DemoArticleID372,ArticleID372,GArticleID372,20
DemoArticleID374,ArticleID374,GArticleID374,25
DemoArticleID376,ArticleID376,GArticleID376,8
DemoArticleID379,ArticleID379,GArticleID379,21
DemoArticleID381,ArticleID381,GArticleID381,13
DemoArticleID384,ArticleID384,GArticleID384,16
DemoArticleID386,ArticleID386,GArticleID386,23
DemoArticleID388,ArticleID388,GArticleID388,32
DemoArticleID393,ArticleID393,GArticleID393,7
DemoArticleID395,ArticleID395,GArticleID395,2
DemoArticleID397,ArticleID397,GArticleID397,26
DemoArticleID401,ArticleID401,GArticleID401,3
DemoArticleID409,ArticleID409,GArticleID409,27
DemoArticleID410,ArticleID410,GArticleID410,23
DemoArticleID411,ArticleID411,GArticleID411,32
DemoArticleID412,ArticleID412,GArticleID412,16
DemoArticleID420,ArticleID420,GArticleID420,32
DemoArticleID422,ArticleID422,GArticleID422,14
DemoArticleID423,ArticleID423,GArticleID423,1
DemoArticleID426,ArticleID426,GArticleID426,17
DemoArticleID428,ArticleID428,GArticleID428,5
DemoArticleID430,ArticleID430,GArticleID430,15
DemoArticleID431,ArticleID431,GArticleID431,16
DemoArticleID433,ArticleID433,GArticleID433,1
DemoArticleID441,ArticleID441,GArticleID441,23
DemoArticleID445,ArticleID445,GArticleID445,4
DemoArticleID446,ArticleID446,GArticleID446,32
DemoArticleID449,ArticleID449,GArticleID449,9
DemoArticleID450,ArticleID450,GArticleID450,37
DemoArticleID451,ArticleID451,GArticleID451,6
DemoArticleID452,ArticleID452,GArticleID452,36
DemoArticleID455,ArticleID455,GArticleID455,22
DemoArticleID458,ArticleID458,GArticleID458,36
DemoArticleID462,ArticleID462,GArticleID462,26
DemoArticleID464,ArticleID464,GArticleID464,2
DemoArticleID466,ArticleID466,GArticleID466,13
DemoArticleID475,ArticleID475,GArticleID475,21
DemoArticleID478,ArticleID478,GArticleID478,22
DemoArticleID482,ArticleID482,GArticleID482,19
DemoArticleID484,ArticleID484,GArticleID484,5
DemoArticleID486,ArticleID486,GArticleID486,27
DemoArticleID495,ArticleID495,GArticleID495,9
DemoArticleID498,ArticleID498,GArticleID498,6
DemoArticleID516,ArticleID516,GArticleID516,36
DemoArticleID517,ArticleID517,GArticleID517,20
DemoArticleID518,ArticleID518,GArticleID518,24
DemoArticleID519,ArticleID519,GArticleID519,15
DemoArticleID520,ArticleID520,GArticleID520,37
DemoArticleID536,ArticleID536,GArticleID536,6
DemoArticleID537,ArticleID537,GArticleID537,10
DemoArticleID538,ArticleID538,GArticleID538,19
DemoArticleID539,ArticleID539,GArticleID539,10
DemoArticleID540,ArticleID540,GArticleID540,29
DemoArticleID542,ArticleID542,GArticleID542,35
DemoArticleID549,ArticleID549,GArticleID549,35
DemoArticleID551,ArticleID551,GArticleID551,8
DemoArticleID553,ArticleID553,GArticleID553,13
DemoArticleID560,ArticleID560,GArticleID560,19
DemoArticleID562,ArticleID562,GArticleID562,5
DemoArticleID568,ArticleID568,GArticleID568,5
DemoArticleID569,ArticleID569,GArticleID569,13
DemoArticleID570,ArticleID570,GArticleID570,12
DemoArticleID571,ArticleID571,GArticleID571,22
DemoArticleID572,ArticleID572,GArticleID572,1
DemoArticleID588,ArticleID588,GArticleID588,32
DemoArticleID589,ArticleID589,GArticleID589,3
DemoArticleID590,ArticleID590,GArticleID590,1
DemoArticleID591,ArticleID591,GArticleID591,39
DemoArticleID592,ArticleID592,GArticleID592,20
DemoArticleID608,ArticleID608,GArticleID608,31
DemoArticleID609,ArticleID609,GArticleID609,9
DemoArticleID610,ArticleID610,GArticleID610,14
DemoArticleID611,ArticleID611,GArticleID611,28
DemoArticleID612,ArticleID612,GArticleID612,22
DemoArticleID628,ArticleID628,GArticleID628,14
DemoArticleID629,ArticleID629,GArticleID629,24
DemoArticleID630,ArticleID630,GArticleID630,30
DemoArticleID637,ArticleID637,GArticleID637,19
DemoArticleID641,ArticleID641,GArticleID641,37
DemoArticleID648,ArticleID648,GArticleID648,25
DemoArticleID649,ArticleID649,GArticleID649,11
DemoArticleID650,ArticleID650,GArticleID650,37
DemoArticleID657,ArticleID657,GArticleID657,19
DemoArticleID661,ArticleID661,GArticleID661,10
DemoArticleID668,ArticleID668,GArticleID668,28
DemoArticleID669,ArticleID669,GArticleID669,35
DemoArticleID670,ArticleID670,GArticleID670,1
DemoArticleID677,ArticleID677,GArticleID677,20
DemoArticleID681,ArticleID681,GArticleID681,3
DemoArticleID685,ArticleID685,GArticleID685,30
DemoArticleID686,ArticleID686,GArticleID686,28
DemoArticleID692,ArticleID692,GArticleID692,33
DemoArticleID699,ArticleID699,GArticleID699,32
DemoArticleID703,ArticleID703,GArticleID703,11
DemoArticleID705,ArticleID705,GArticleID705,12
DemoArticleID706,ArticleID706,GArticleID706,31
DemoArticleID712,ArticleID712,GArticleID712,17
DemoArticleID719,ArticleID719,GArticleID719,10
DemoArticleID723,ArticleID723,GArticleID723,24
DemoArticleID725,ArticleID725,GArticleID725,15
DemoArticleID726,ArticleID726,GArticleID726,19
DemoArticleID732,ArticleID732,GArticleID732,10
DemoArticleID739,ArticleID739,GArticleID739,17
DemoArticleID742,ArticleID742,GArticleID742,3
DemoArticleID743,ArticleID743,GArticleID743,18
DemoArticleID745,ArticleID745,GArticleID745,16
DemoArticleID754,ArticleID754,GArticleID754,23
DemoArticleID761,ArticleID761,GArticleID761,26
DemoArticleID762,ArticleID762,GArticleID762,16
DemoArticleID763,ArticleID763,GArticleID763,7
DemoArticleID765,ArticleID765,GArticleID765,20
DemoArticleID774,ArticleID774,GArticleID774,6
DemoArticleID780,ArticleID780,GArticleID780,5
DemoArticleID784,ArticleID784,GArticleID784,40
DemoArticleID788,ArticleID788,GArticleID788,18
DemoArticleID792,ArticleID792,GArticleID792,38
DemoArticleID796,ArticleID796,GArticleID796,20
DemoArticleID800,ArticleID800,GArticleID800,6
DemoArticleID804,ArticleID804,GArticleID804,10
DemoArticleID808,ArticleID808,GArticleID808,7
DemoArticleID812,ArticleID812,GArticleID812,16
DemoArticleID816,ArticleID816,GArticleID816,15
DemoArticleID820,ArticleID820,GArticleID820,31
DemoArticleID824,ArticleID824,GArticleID824,31
DemoArticleID828,ArticleID828,GArticleID828,23
DemoArticleID832,ArticleID832,GArticleID832,11
DemoArticleID836,ArticleID836,GArticleID836,17
DemoArticleID840,ArticleID840,GArticleID840,14
DemoArticleID844,ArticleID844,GArticleID844,37
DemoArticleID846,ArticleID846,GArticleID846,11
DemoArticleID855,ArticleID855,GArticleID855,3
DemoArticleID858,ArticleID858,GArticleID858,23
DemoArticleID862,ArticleID862,GArticleID862,26
DemoArticleID864,ArticleID864,GArticleID864,34
DemoArticleID866,ArticleID866,GArticleID866,14
DemoArticleID875,ArticleID875,GArticleID875,5
DemoArticleID878,ArticleID878,GArticleID878,26
DemoArticleID882,ArticleID882,GArticleID882,12
DemoArticleID884,ArticleID884,GArticleID884,26
DemoArticleID886,ArticleID886,GArticleID886,18
FullArticleID006,ArticleID006,GArticleID006,22
FullArticleID008,ArticleID008,GArticleID008,29
FullArticleID009,ArticleID009,GArticleID009,16
FullArticleID010,ArticleID010,GArticleID010,18
FullArticleID017,ArticleID017,GArticleID017,30
FullArticleID018,ArticleID018,GArticleID018,17
FullArticleID024,ArticleID024,GArticleID024,26
FullArticleID028,ArticleID028,GArticleID028,29
FullArticleID030,ArticleID030,GArticleID030,28
FullArticleID040,ArticleID040,GArticleID040,20
FullArticleID041,ArticleID041,GArticleID041,23
FullArticleID043,ArticleID043,GArticleID043,29
FullArticleID045,ArticleID045,GArticleID045,30
FullArticleID052,ArticleID052,GArticleID052,22
FullArticleID056,ArticleID056,GArticleID056,21
FullArticleID059,ArticleID059,GArticleID059,18
FullArticleID063,ArticleID063,GArticleID063,29
FullArticleID069,ArticleID069,GArticleID069,25
FullArticleID080,ArticleID080,GArticleID080,17
FullArticleID092,ArticleID092,GArticleID092,28
FullArticleID100,ArticleID100,GArticleID100,20
FullArticleID103,ArticleID103,GArticleID103,28
FullArticleID106,ArticleID106,GArticleID106,16
FullArticleID107,ArticleID107,GArticleID107,16
FullArticleID110,ArticleID110,GArticleID110,22
FullArticleID111,ArticleID111,GArticleID111,23
FullArticleID115,ArticleID115,GArticleID115,29
FullArticleID116,ArticleID116,GArticleID116,26
FullArticleID118,ArticleID118,GArticleID118,17
FullArticleID120,ArticleID120,GArticleID120,16
FullArticleID126,ArticleID126,GArticleID126,22
FullArticleID127,ArticleID127,GArticleID127,19
FullArticleID130,ArticleID130,GArticleID130,26
FullArticleID131,ArticleID131,GArticleID131,26
FullArticleID134,ArticleID134,GArticleID134,24
FullArticleID137,ArticleID137,GArticleID137,26
FullArticleID140,ArticleID140,GArticleID140,22
FullArticleID141,ArticleID141,GArticleID141,20
FullArticleID144,ArticleID144,GArticleID144,18
FullArticleID145,ArticleID145,GArticleID145,17
FullArticleID146,ArticleID146,GArticleID146,30
FullArticleID151,ArticleID151,GArticleID151,16
FullArticleID152,ArticleID152,GArticleID152,16
FullArticleID155,ArticleID155,GArticleID155,20
FullArticleID156,ArticleID156,GArticleID156,29
FullArticleID157,ArticleID157,GArticleID157,29
FullArticleID160,ArticleID160,GArticleID160,25
FullArticleID161,ArticleID161,GArticleID161,26
FullArticleID162,ArticleID162,GArticleID162,22
FullArticleID163,ArticleID163,GArticleID163,22
FullArticleID167,ArticleID167,GArticleID167,15
FullArticleID172,ArticleID172,GArticleID172,23
FullArticleID176,ArticleID176,GArticleID176,21
FullArticleID177,ArticleID177,GArticleID177,27
FullArticleID179,ArticleID179,GArticleID179,17
FullArticleID180,ArticleID180,GArticleID180,24
FullArticleID181,ArticleID181,GArticleID181,21
FullArticleID183,ArticleID183,GArticleID183,16
FullArticleID186,ArticleID186,GArticleID186,17
FullArticleID187,ArticleID187,GArticleID187,16
FullArticleID188,ArticleID188,GArticleID188,20
FullArticleID193,ArticleID193,GArticleID193,27
FullArticleID199,ArticleID199,GArticleID199,16
FullArticleID202,ArticleID202,GArticleID202,22
FullArticleID206,ArticleID206,GArticleID206,26
FullArticleID214,ArticleID214,GArticleID214,22
FullArticleID215,ArticleID215,GArticleID215,15
FullArticleID219,ArticleID219,GArticleID219,17
FullArticleID220,ArticleID220,GArticleID220,19
FullArticleID221,ArticleID221,GArticleID221,25
FullArticleID224,ArticleID224,GArticleID224,21
FullArticleID226,ArticleID226,GArticleID226,26
FullArticleID228,ArticleID228,GArticleID228,29
FullArticleID237,ArticleID237,GArticleID237,29
FullArticleID238,ArticleID238,GArticleID238,20
FullArticleID239,ArticleID239,GArticleID239,16
FullArticleID242,ArticleID242,GArticleID242,18
FullArticleID244,ArticleID244,GArticleID244,26
FullArticleID246,ArticleID246,GArticleID246,16
FullArticleID256,ArticleID256,GArticleID256,19
FullArticleID258,ArticleID258,GArticleID258,23
FullArticleID265,ArticleID265,GArticleID265,16
FullArticleID266,ArticleID266,GArticleID266,29
FullArticleID272,ArticleID272,GArticleID272,26
FullArticleID273,ArticleID273,GArticleID273,30
FullArticleID274,ArticleID274,GArticleID274,29
FullArticleID277,ArticleID277,GArticleID277,25
FullArticleID280,ArticleID280,GArticleID280,26
FullArticleID284,ArticleID284,GArticleID284,30
FullArticleID287,ArticleID287,GArticleID287,16
FullArticleID289,ArticleID289,GArticleID289,26
FullArticleID290,ArticleID290,GArticleID290,26
FullArticleID291,ArticleID291,GArticleID291,18
FullArticleID294,ArticleID294,GArticleID294,15
FullArticleID295,ArticleID295,GArticleID295,29
FullArticleID296,ArticleID296,GArticleID296,28
FullArticleID302,ArticleID302,GArticleID302,28
FullArticleID310,ArticleID310,GArticleID310,24
FullArticleID311,ArticleID311,GArticleID311,15
FullArticleID312,ArticleID312,GArticleID312,16
FullArticleID317,ArticleID317,GArticleID317,22
FullArticleID319,ArticleID319,GArticleID319,26
FullArticleID320,ArticleID320,GArticleID320,17
FullArticleID323,ArticleID323,GArticleID323,26
FullArticleID326,ArticleID326,GArticleID326,23
FullArticleID327,ArticleID327,GArticleID327,19
FullArticleID328,ArticleID328,GArticleID328,25
FullArticleID332,ArticleID332,GArticleID332,21
FullArticleID336,ArticleID336,GArticleID336,23
FullArticleID338,ArticleID338,GArticleID338,24
FullArticleID339,ArticleID339,GArticleID339,23
FullArticleID340,ArticleID340,GArticleID340,28
FullArticleID344,ArticleID344,GArticleID344,28
FullArticleID347,ArticleID347,GArticleID347,26
FullArticleID351,ArticleID351,GArticleID351,16
FullArticleID353,ArticleID353,GArticleID353,20
FullArticleID354,ArticleID354,GArticleID354,15
FullArticleID355,ArticleID355,GArticleID355,25
FullArticleID358,ArticleID358,GArticleID358,20
FullArticleID363,ArticleID363,GArticleID363,26
FullArticleID370,ArticleID370,GArticleID370,19
FullArticleID371,ArticleID371,GArticleID371,16
FullArticleID373,ArticleID373,GArticleID373,22
FullArticleID377,ArticleID377,GArticleID377,25
FullArticleID380,ArticleID380,GArticleID380,19
FullArticleID383,ArticleID383,GArticleID383,29
FullArticleID387,ArticleID387,GArticleID387,24
FullArticleID391,ArticleID391,GArticleID391,25
FullArticleID394,ArticleID394,GArticleID394,22
FullArticleID396,ArticleID396,GArticleID396,26
FullArticleID403,ArticleID403,GArticleID403,18
FullArticleID404,ArticleID404,GArticleID404,27
FullArticleID405,ArticleID405,GArticleID405,30
FullArticleID406,ArticleID406,GArticleID406,25
FullArticleID413,ArticleID413,GArticleID413,21
FullArticleID415,ArticleID415,GArticleID415,30
FullArticleID418,ArticleID418,GArticleID418,18
FullArticleID427,ArticleID427,GArticleID427,19
FullArticleID429,ArticleID429,GArticleID429,16
FullArticleID435,ArticleID435,GArticleID435,29
FullArticleID436,ArticleID436,GArticleID436,23
FullArticleID439,ArticleID439,GArticleID439,25
FullArticleID443,ArticleID443,GArticleID443,26
FullArticleID447,ArticleID447,GArticleID447,26
FullArticleID457,ArticleID457,GArticleID457,23
FullArticleID459,ArticleID459,GArticleID459,24
FullArticleID461,ArticleID461,GArticleID461,27
FullArticleID470,ArticleID470,GArticleID470,26
FullArticleID473,ArticleID473,GArticleID473,22
FullArticleID477,ArticleID477,GArticleID477,17
FullArticleID479,ArticleID479,GArticleID479,28
FullArticleID481,ArticleID481,GArticleID481,27
FullArticleID490,ArticleID490,GArticleID490,27
FullArticleID493,ArticleID493,GArticleID493,29
FullArticleID497,ArticleID497,GArticleID497,27
FullArticleID499,ArticleID499,GArticleID499,16
FullArticleID511,ArticleID511,GArticleID511,29
FullArticleID512,ArticleID512,GArticleID512,16
FullArticleID513,ArticleID513,GArticleID513,23
FullArticleID514,ArticleID514,GArticleID514,26
FullArticleID515,ArticleID515,GArticleID515,30
FullArticleID531,ArticleID531,GArticleID531,16
FullArticleID532,ArticleID532,GArticleID532,28
FullArticleID533,ArticleID533,GArticleID533,26
FullArticleID534,ArticleID534,GArticleID534,24
FullArticleID535,ArticleID535,GArticleID535,20
FullArticleID544,ArticleID544,GArticleID544,27
FullArticleID546,ArticleID546,GArticleID546,27
FullArticleID548,ArticleID548,GArticleID548,19
FullArticleID555,ArticleID555,GArticleID555,16
FullArticleID557,ArticleID557,GArticleID557,21
FullArticleID564,ArticleID564,GArticleID564,18
FullArticleID566,ArticleID566,GArticleID566,28
FullArticleID583,ArticleID583,GArticleID583,25
FullArticleID584,ArticleID584,GArticleID584,21
FullArticleID585,ArticleID585,GArticleID585,17
FullArticleID586,ArticleID586,GArticleID586,23
FullArticleID587,ArticleID587,GArticleID587,16
FullArticleID603,ArticleID603,GArticleID603,23
FullArticleID604,ArticleID604,GArticleID604,29
FullArticleID605,ArticleID605,GArticleID605,26
FullArticleID606,ArticleID606,GArticleID606,30
FullArticleID607,ArticleID607,GArticleID607,17
FullArticleID623,ArticleID623,GArticleID623,23
FullArticleID624,ArticleID624,GArticleID624,29
FullArticleID625,ArticleID625,GArticleID625,16
FullArticleID626,ArticleID626,GArticleID626,24
FullArticleID627,ArticleID627,GArticleID627,24
FullArticleID632,ArticleID632,GArticleID632,20
FullArticleID636,ArticleID636,GArticleID636,26
FullArticleID643,ArticleID643,GArticleID643,28
FullArticleID644,ArticleID644,GArticleID644,26
FullArticleID645,ArticleID645,GArticleID645,16
FullArticleID652,ArticleID652,GArticleID652,30
FullArticleID656,ArticleID656,GArticleID656,15
FullArticleID663,ArticleID663,GArticleID663,25
FullArticleID664,ArticleID664,GArticleID664,28
FullArticleID665,ArticleID665,GArticleID665,20
FullArticleID672,ArticleID672,GArticleID672,20
FullArticleID676,ArticleID676,GArticleID676,26
FullArticleID683,ArticleID683,GArticleID683,24
FullArticleID684,ArticleID684,GArticleID684,25
FullArticleID687,ArticleID687,GArticleID687,19
FullArticleID694,ArticleID694,GArticleID694,29
FullArticleID698,ArticleID698,GArticleID698,24
FullArticleID700,ArticleID700,GArticleID700,23
FullArticleID701,ArticleID701,GArticleID701,19
FullArticleID707,ArticleID707,GArticleID707,29
FullArticleID714,ArticleID714,GArticleID714,21
FullArticleID718,ArticleID718,GArticleID718,18
FullArticleID720,ArticleID720,GArticleID720,20
FullArticleID721,ArticleID721,GArticleID721,18
FullArticleID727,ArticleID727,GArticleID727,26
FullArticleID734,ArticleID734,GArticleID734,17
FullArticleID738,ArticleID738,GArticleID738,26
FullArticleID740,ArticleID740,GArticleID740,18
FullArticleID741,ArticleID741,GArticleID741,21
FullArticleID749,ArticleID749,GArticleID749,17
FullArticleID756,ArticleID756,GArticleID756,16
FullArticleID757,ArticleID757,GArticleID757,19
FullArticleID758,ArticleID758,GArticleID758,23
FullArticleID760,ArticleID760,GArticleID760,16
FullArticleID769,ArticleID769,GArticleID769,21
FullArticleID776,ArticleID776,GArticleID776,23
FullArticleID777,ArticleID777,GArticleID777,30
FullArticleID778,ArticleID778,GArticleID778,27
FullArticleID783,ArticleID783,GArticleID783,30
FullArticleID787,ArticleID787,GArticleID787,22
FullArticleID791,ArticleID791,GArticleID791,29
FullArticleID795,ArticleID795,GArticleID795,28
FullArticleID799,ArticleID799,GArticleID799,23
FullArticleID803,ArticleID803,GArticleID803,29
FullArticleID807,ArticleID807,GArticleID807,24
FullArticleID811,ArticleID811,GArticleID811,28
FullArticleID815,ArticleID815,GArticleID815,15
FullArticleID819,ArticleID819,GArticleID819,25
FullArticleID823,ArticleID823,GArticleID823,30
FullArticleID827,ArticleID827,GArticleID827,25
FullArticleID831,ArticleID831,GArticleID831,15
FullArticleID835,ArticleID835,GArticleID835,21
FullArticleID839,ArticleID839,GArticleID839,29
FullArticleID843,ArticleID843,GArticleID843,21
FullArticleID850,ArticleID850,GArticleID850,15
FullArticleID853,ArticleID853,GArticleID853,17
FullArticleID857,ArticleID857,GArticleID857,20
FullArticleID859,ArticleID859,GArticleID859,20
FullArticleID861,ArticleID861,GArticleID861,19
FullArticleID870,ArticleID870,GArticleID870,26
FullArticleID873,ArticleID873,GArticleID873,28
FullArticleID877,ArticleID877,GArticleID877,17
FullArticleID879,ArticleID879,GArticleID879,30
FullArticleID881,ArticleID881,GArticleID881,29
FullArticleID890,ArticleID890,GArticleID890,23
ShortArticleID001,ArticleID001,GArticleID001,6
ShortArticleID007,ArticleID007,GArticleID007,9
ShortArticleID012,ArticleID012,GArticleID012,8
ShortArticleID013,ArticleID013,GArticleID013,3
ShortArticleID014,ArticleID014,GArticleID014,2
ShortArticleID016,ArticleID016,GArticleID016,9
ShortArticleID021,ArticleID021,GArticleID021,4
ShortArticleID025,ArticleID025,GArticleID025,3
ShortArticleID027,ArticleID027,GArticleID027,2
ShortArticleID029,ArticleID029,GArticleID029,8
ShortArticleID031,ArticleID031,GArticleID031,9
ShortArticleID032,ArticleID032,GArticleID032,6
ShortArticleID035,ArticleID035,GArticleID035,6
ShortArticleID037,ArticleID037,GArticleID037,4
ShortArticleID039,ArticleID039,GArticleID039,7
ShortArticleID044,ArticleID044,GArticleID044,2
ShortArticleID046,ArticleID046,GArticleID046,5
ShortArticleID047,ArticleID047,GArticleID047,8
ShortArticleID050,ArticleID050,GArticleID050,2
ShortArticleID051,ArticleID051,GArticleID051,6
ShortArticleID055,ArticleID055,GArticleID055,6
ShortArticleID057,ArticleID057,GArticleID057,8
ShortArticleID061,ArticleID061,GArticleID061,10
ShortArticleID064,ArticleID064,GArticleID064,1
ShortArticleID071,ArticleID071,GArticleID071,3
ShortArticleID072,ArticleID072,GArticleID072,5
ShortArticleID074,ArticleID074,GArticleID074,9
ShortArticleID075,ArticleID075,GArticleID075,4
ShortArticleID076,ArticleID076,GArticleID076,7
ShortArticleID077,ArticleID077,GArticleID077,9
ShortArticleID081,ArticleID081,GArticleID081,2
ShortArticleID082,ArticleID082,GArticleID082,7
ShortArticleID084,ArticleID084,GArticleID084,8
ShortArticleID086,ArticleID086,GArticleID086,3
ShortArticleID087,ArticleID087,GArticleID087,6
ShortArticleID090,ArticleID090,GArticleID090,6
ShortArticleID093,ArticleID093,GArticleID093,4
ShortArticleID096,ArticleID096,GArticleID096,6
ShortArticleID097,ArticleID097,GArticleID097,7
ShortArticleID098,ArticleID098,GArticleID098,4
ShortArticleID102,ArticleID102,GArticleID102,2
ShortArticleID104,ArticleID104,GArticleID104,6
ShortArticleID105,ArticleID105,GArticleID105,2
ShortArticleID117,ArticleID117,GArticleID117,9
ShortArticleID122,ArticleID122,GArticleID122,6
ShortArticleID123,ArticleID123,GArticleID123,4
ShortArticleID124,ArticleID124,GArticleID124,1
ShortArticleID125,ArticleID125,GArticleID125,6
ShortArticleID128,ArticleID128,GArticleID128,6
ShortArticleID132,ArticleID132,GArticleID132,2
ShortArticleID133,ArticleID133,GArticleID133,10
ShortArticleID135,ArticleID135,GArticleID135,1
ShortArticleID136,ArticleID136,GArticleID136,1
ShortArticleID142,ArticleID142,GArticleID142,3
