Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,NumberOfDays,Workshop,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID570,DemoArticleID570,,,,,ArticleID570,Introducing second-Year students to concept-Based projects for increased success in third-Year sponsored projects,AuthorID301, Field D.P.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID571,DemoArticleID571,,,,,ArticleID571,Integrating a multidisciplinary design methods mindset into classroom practice,AuthorID302, Field D.P.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID589,DemoArticleID589,,,,,ArticleID589,Extending Motion Detection to Track Stopped Objects in Visual Multi-Target Tracking,AuthorID320, Fullwood D.T.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID590,DemoArticleID590,,,,,ArticleID590,Cooperation induction in two player bertand markets with linear demand,AuthorID321, Fullwood D.T.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID591,DemoArticleID591,,,,,ArticleID591,Abstractions and realizations of dynamic networks,AuthorID322, Fullwood D.T.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID608,DemoArticleID608,,,,,ArticleID608,Factors leading to sustainable social impact on the affected communities of engineering service learning projects,AuthorID339, Guthrie W.S.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 1,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID609,DemoArticleID609,,,,,ArticleID609,Fabrication and testing of a MEMS system for injection of DNA into plant cells,AuthorID340, Hadi Nazari S.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID610,DemoArticleID610,,,,,ArticleID610,Establishing baseline performance for off-the-shelf nitrile seals for the India Mark II hand pump system,AuthorID341, Hales Swift S.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
,,www.Conference on Formal Methods in Computer-Aided Design.com/DemoArticleID611,DemoArticleID611,,,,,ArticleID611,Elastic energy absorption of origami-based corrugations,AuthorID342, Hales Swift S.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
11,PosterArticleID574,,,,,,,ArticleID574,Using instagram to increase student engagement with design history,AuthorID305, Fletcher M.E.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
8,PosterArticleID575,,,,,,,ArticleID575,Information reduction and studio project frameworks,AuthorID306, Fletcher T.H.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
22,PosterArticleID576,,,,,,,ArticleID576,Increasing the educational impact following a field study programme,AuthorID307, Fletcher T.H.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
12,PosterArticleID594,,,,,,,ArticleID594,Three approaches for managing stiffness in origami-inspired mechanisms,AuthorID325, Fullwood D.T.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
22,PosterArticleID595,,,,,,,ArticleID595,Thick folding through regionally-sandwiched compliant sheets,AuthorID326, Gamstedt E.K.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
19,PosterArticleID596,,,,,,,ArticleID596,The technology/tactics (TEC/TAC) plot: Explicit representation of user actions in the product design space,AuthorID327, Ganguly R.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
28,PosterArticleID614,,,,,,,ArticleID614,Design and modeling of a prosthetic venous valve,AuthorID345, Hamilton E.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 2,HandlerID011,12/12/1990
5,PosterArticleID615,,,,,,,ArticleID615,Deployable euler spiral connectors (DESCs),AuthorID346, Han K.-S.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 3,HandlerID011,12/12/1990
16,PosterArticleID616,,,,,,,ArticleID616,Cylindrical developable mechanisms for minimally invasive surgical instruments,AuthorID347, Harrison W.K.,5,WCID004,VCID004,Conference on Formal Methods in Computer-Aided Design,CID004,FMCAD Ed 4,HandlerID011,12/12/1990
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID782",ShortArticleID782,ArticleID782,"Simplified Evaluation of the Seismic Failure of an Old Wharf during the 2014 Mw 8.2 Pisagua, Chile, Earthquake",AuthorID513, Nelson T.W.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID786",ShortArticleID786,ArticleID786,Optimization of Grid Spacing Pattern for the Development of Reference Parameter Maps for Liquefaction-Induced Free-Field Settlement,AuthorID517, Nordin G.P.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID790",ShortArticleID790,ArticleID790,Gravelly Soil Liquefaction after the 2016 Ecuador Earthquake,AuthorID521, Oevermann M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID794",ShortArticleID794,ArticleID794,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy",AuthorID525, Opra J.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID798",ShortArticleID798,ArticleID798,Commissioning observations with the focal L-band Array on the Green Bank Telescope (FLAG),AuthorID529, Pan Z.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID802",ShortArticleID802,ArticleID802,Delivery methods and social network analysis of unethical behavior in the construction industry,AuthorID533, Parks J.W.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID806",ShortArticleID806,ArticleID806,Analyzing the safety impacts of raised medians,AuthorID537, Patterson J.L.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID810",ShortArticleID810,ArticleID810,A bi-directional interface for improved interaction with engineering models in virtual reality design reviews,AuthorID541, Perdue T.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID814",ShortArticleID814,ArticleID814,Shaping and Forming of Advanced High Strength Steels,AuthorID545, Peterson C.K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID818",ShortArticleID818,ArticleID818,Minimum required detection range for detect and avoid of unmanned aircraft systems,AuthorID549, Powell K.M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID822",ShortArticleID822,ArticleID822,Development of sediment management guidelines for small to medium reservoirs,AuthorID553, Primig S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID826",ShortArticleID826,ArticleID826,Rigidly foldable quadrilateral meshes from angle arrays,AuthorID557, Rasmussen S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID830",ShortArticleID830,ArticleID830,Folding approaches for tensioned precision planar shell structures,AuthorID561, Rech P.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID834",ShortArticleID834,ArticleID834,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",AuthorID565, Rice M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID838",ShortArticleID838,ArticleID838,Preface,AuthorID569, Rodrigues L.M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID842",ShortArticleID842,ArticleID842,Roadmap on biological pathways for electronic nanofabrication and materials,AuthorID573, Roy S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,15,FullArticleID783,,,ArticleID783,"Probabilistic Lateral Spread Evaluation for Long, Linear Infrastructure Using Performance-Based Reference Parameter Maps",AuthorID514, Ning A.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,,,23,FullArticleID787,,,ArticleID787,"Mexico City Basin Effects: Past, Present, and Future",AuthorID518, Nordin G.P.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,6,FullArticleID791,,,ArticleID791,Geofoam inclusions for reducing passive force on bridge abutments based on large-scale tests,AuthorID522, Oevermann M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,,,26,FullArticleID795,,,ArticleID795,Analysis of post-liquefaction axial capacities of driven pile and drilled shaft foundations,AuthorID526, Orfila M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,,,8,FullArticleID799,,,ArticleID799,A compact low-cost direction finding system for unmanned aerial vehicles,AuthorID530, Pankow M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,,,28,FullArticleID803,,,ArticleID803,Examining Nonlinear Terahertz Photonic and Phononic Excitation with Two-Dimensional Spectroscopy,AuthorID534, Patala S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,,,2,FullArticleID807,,,ArticleID807,A methodology for analyzing intersection safety,AuthorID538, Pedersoli E.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,8,FullArticleID811,,,ArticleID811,The scaled SLW model of gas radiation in non-uniform media,AuthorID542, Perez-Celis A.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,,,16,FullArticleID815,,,ArticleID815,Quantum Materials for Energy-Efficient Computing,AuthorID546, Pigg A.C.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,,,4,FullArticleID819,,,ArticleID819,Solar system science with the Wide-Field Infrared Survey Telescope,AuthorID550, Prasad S.V.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,,,13,FullArticleID823,,,ArticleID823,Review of surface water interactions with metal oxide nanoparticles,AuthorID554, Purohit H.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,,,23,FullArticleID827,,,ArticleID827,Origami-based design of conceal-and-reveal systems,AuthorID558, Ravert J.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,,,6,FullArticleID831,,,ArticleID831,Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,AuthorID562, Red E.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,,,17,FullArticleID835,,,ArticleID835,An ultra-high Q inductorless narrowband filter based on the voltage divider phase shift method,AuthorID566, Rice M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,,,10,FullArticleID839,,,ArticleID839,Local texture evolution and mechanical performance of ultra-high-speed friction stir weld of AA 6111-T4 sheets,AuthorID570, Rollins K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,,,7,FullArticleID843,,,ArticleID843,Optofluidic bioanalysis: Fundamentals and applications,AuthorID574, Rupert L.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID780,DemoArticleID780,,,,,ArticleID780,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,AuthorID511, Nelson J.A.D.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID784,DemoArticleID784,,,,,ArticleID784,Passive Force-Deflection Curves for Controlled Low-Strength Material (CLSM) and Lightweight Cellular Concrete (LCC),AuthorID515, Ning A.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID788,DemoArticleID788,,,,,ArticleID788,Lateral resistance of piles within corrugated metal sleeves,AuthorID519, Norman K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID792,DemoArticleID792,,,,,ArticleID792,Evaluation of Dynamic Cone Penetration Test for Liquefaction Assessment of Gravels from Case Histories in Idaho,AuthorID523, Oliphant K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID796,DemoArticleID796,,,,,ArticleID796,In situ bubble characterization during resin infusion for process simulation of voids,AuthorID527, Orfila M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID800,DemoArticleID800,,,,,ArticleID800,Evaluation and demonstration of take home laboratory kit,AuthorID531, Parate K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID804,DemoArticleID804,,,,,ArticleID804,Direct Comparison between Multi-Dimensional Terahertz Vibrational Spectroscopies,AuthorID535, Patterson E.S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID808,DemoArticleID808,,,,,ArticleID808,Adaptive net radiative heat transfer and thermal management with origami-structured surfaces,AuthorID539, Pehrson N.A.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID812,DemoArticleID812,,,,,ArticleID812,Preface,AuthorID543, Perrinsy E.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID816,DemoArticleID816,,,,,ArticleID816,Behavior of Sheet Metal Under Multiaxial Deformation Paths,AuthorID547, Pitt W.G.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID820,DemoArticleID820,,,,,ArticleID820,Non-canonical amino acid labeling in proteomics and biotechnology,AuthorID551, Pratt B.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID824,DemoArticleID824,,,,,ArticleID824,"Social impact in product design, an exploration of current industry practices",AuthorID555, Quinn H.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID828,DemoArticleID828,,,,,ArticleID828,Nanoantibiotics containing membrane-active human cathelicidin LL-37 or synthetic ceragenins attached to the surface of magnetic nanoparticles as novel and innovative therapeutic tools: Current status and potential future applications,AuthorID559, Rawlings L.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID832,DemoArticleID832,,,,,ArticleID832,Preface,AuthorID563, Reese C.S.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID836,DemoArticleID836,,,,,ArticleID836,A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),AuthorID567, Richey M.C.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
,,www.IET Conference Publications.com/DemoArticleID840,DemoArticleID840,,,,,ArticleID840,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension",AuthorID571, Rollins K.M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
22,PosterArticleID781,,,,,,,ArticleID781,The use of unmanned aerial vehicles and structures from motion to measure the volume change at a deep dynamic compaction site,AuthorID512, Nelson T.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
29,PosterArticleID785,,,,,,,ArticleID785,Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests,AuthorID516, Noble M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
7,PosterArticleID789,,,,,,,ArticleID789,Lateral Resistance of Abutment Piles Near Mechanically Stabilized Earth Walls,AuthorID520, Nygaard E.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
16,PosterArticleID793,,,,,,,ArticleID793,Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab,AuthorID524, Oliphant K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
23,PosterArticleID797,,,,,,,ArticleID797,Moment method analysis of a reconfigurable OTA reverberation chamber,AuthorID528, Orfila M.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
16,PosterArticleID801,,,,,,,ArticleID801,Implementation of lean practices among finishing contractors in the US,AuthorID532, Park D.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
11,PosterArticleID805,,,,,,,ArticleID805,High Accuracy Achieved in Determining Lengths and Locations of Horizontal Curves Using Light Detection and Ranging Point Cloud Data,AuthorID536, Patterson J.L.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
14,PosterArticleID809,,,,,,,ArticleID809,Profile-based team organization in multi-university capstone engineering design teams,AuthorID540, Pendlebury J.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
16,PosterArticleID813,,,,,,,ArticleID813,Crystallographic Reconstruction of Parent Austenite Twin Boundaries in a Lath Martensitic Steel,AuthorID544, Peters K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
22,PosterArticleID817,,,,,,,ArticleID817,Adhesion testing of printed inks while varying the surface treatment of polymer substrates,AuthorID548, Plotnick L.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
6,PosterArticleID821,,,,,,,ArticleID821,A Review of the Capabilities of Current Low-Cost Virtual Reality Technology and Its Potential to Enhance the Design Process,AuthorID552, Pratt B.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 2,HandlerID013,04/04/2001
13,PosterArticleID825,,,,,,,ArticleID825,Over-design versus redesign as a response to future requirements,AuthorID556, Rahman L.O.A.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 1,HandlerID013,04/04/2001
17,PosterArticleID829,,,,,,,ArticleID829,Engineering radical polymer electrodes for electrochemical energy storage,AuthorID560, Rayner G.B.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 5,HandlerID013,04/04/2001
18,PosterArticleID833,,,,,,,ArticleID833,Exploration of carbon-filled carbon nanotube vascular stents,AuthorID564, Remillieux M.C.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 4,HandlerID013,04/04/2001
7,PosterArticleID837,,,,,,,ArticleID837,Preface,AuthorID568, Roberts A.K.,9,WCID006,VCID006,IET Conference Publications,CID006,IET Ed 3,HandlerID013,04/04/2001
