Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,NumExperts,ExpertsGroup,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,,,1,FullArticleID493,,,ArticleID493,"Design and analysis of self-deployable, self-stiffening, and retractable arrays",AuthorID224, Black R.A.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,,,22,FullArticleID497,,,ArticleID497,Folding approaches for tensioned precision planar shell structures,AuthorID228, Bodily P.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 4,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID458,DemoArticleID458,,,,,ArticleID458,Irregular quadrature amplitude modulation for adaptive physical-layer security,AuthorID189,Bodily D.M.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID464,DemoArticleID464,,,,,ArticleID464,Gesture commands for controlling high-level UAV behavior,AuthorID195, Adams B.R.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 1,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID466,DemoArticleID466,,,,,ArticleID466,Encirclement of moving targets using relative range and bearing measurements,AuthorID197, Aghito M.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 3,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID478,DemoArticleID478,,,,,ArticleID478,Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,AuthorID209, Ban H.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID484,DemoArticleID484,,,,,ArticleID484,"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace",AuthorID215, Beard R.W.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 1,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID495,DemoArticleID495,,,,,ArticleID495,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,AuthorID226, Blonquist J.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 2,HandlerID008,08/05/1989
,,www.ACM/IEEE International Conference on Human-Robot Interaction.com/DemoArticleID498,DemoArticleID498,,,,,ArticleID498,Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,AuthorID229, Bodily P.M.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
22,PosterArticleID463,,,,,,,ArticleID463,Visual servoing for multirotor precision landing in daylight and after-dark conditions,AuthorID194,Hunter A.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
5,PosterArticleID471,,,,,,,ArticleID471,Beamforming-based wavepacket model for noise environment predictions of tactical aircraft,AuthorID202, Allred D.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 3,HandlerID008,08/05/1989
30,PosterArticleID483,,,,,,,ArticleID483,Small aircraft flight encounters database for UAS sense and avoid,AuthorID214, Beard R.W.,11,EGCID001,VCID001,ACM/IEEE International Conference on Human-Robot Interaction,CID001,HumRob Ed 5,HandlerID008,08/05/1989
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID631",ShortArticleID631,ArticleID631,Ash deposition during advanced oxy-coal combustion using minimum recycled flue gas,AuthorID362, Hazen G.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID638",ShortArticleID638,ArticleID638,Dynamic grouping of cooperating vehicles using a receding horizon controller for ground target search and track missions,AuthorID369, Hedengren J.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID639",ShortArticleID639,ArticleID639,Applying a passive network reconstruction technique to Twitter data in order to identify trend setters,AuthorID370, Hedengren J.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID640",ShortArticleID640,ArticleID640,MMI waveguide based multispectral detection of nucleic acids for analysis of drug-resistant bacteria,AuthorID371, Hedengren J.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID647",ShortArticleID647,ArticleID647,Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety,AuthorID378, Homer E.R.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID651",ShortArticleID651,ArticleID651,Investigation of merging flames in Horizontal and vertical Geometries,AuthorID382, Hosemann P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID658",ShortArticleID658,ArticleID658,Spatiotemporal correlation analysis of jet noise from a round-nozzle supersonic aircraft,AuthorID389, Howell L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID659",ShortArticleID659,ArticleID659,Inclusion of broadband shock-associated noise in spectral decomposition of noise from highperformance military aircraft,AuthorID390, Howell L.L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID660",ShortArticleID660,ArticleID660,Dependence of high-performance military aircraft noise on frequency and engine power,AuthorID391, Howell L.L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID667",ShortArticleID667,ArticleID667,Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,AuthorID398, Hsu C.-W.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID671",ShortArticleID671,ArticleID671,Modified Material Properties in Curved Panels Through Lamina Emergent Torsional Joints,AuthorID402, Iverson B.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID678",ShortArticleID678,ArticleID678,Sediment management in U.S. reservoirs: Challenges and progress [Gestion des sédiments dans les retenues américaines: Défis et progrès],AuthorID409, Jain A.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID679",ShortArticleID679,ArticleID679,Development and testing of an innovative architectural programming simulation as a precursor to target value design,AuthorID410, Jenkins D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID680",ShortArticleID680,ArticleID680,Relative target estimation using a cascade of extended Kalman filters,AuthorID411, Jensen B.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID689",ShortArticleID689,ArticleID689,Corrigendum: Efficient decellularization of whole porcine kidneys improves reseeded cell behavior (Biomedical Materials (Bristol) (2016) 11 (025003) DOI: 10.1088/1748-6041/11/2/025003),AuthorID420, Jones M.R.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID693",ShortArticleID693,ArticleID693,Field testing of Cryogenic Carbon Capture,AuthorID424, Jorgensen J.J.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID695",ShortArticleID695,ArticleID695,Closed-Loop PID Re-Tuning in a Digital Twin by Re-Playing Past Setpoint and Load Disturbance Data,AuthorID426, Kern E.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID696",ShortArticleID696,ArticleID696,Moderating operator influence in human-swarm systems,AuthorID427, Killian M.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID702",ShortArticleID702,ArticleID702,Identifying mode shapes of turbo-machinery blades using principal component analysis and support vector machines,AuthorID433, Knight C.J.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID709",ShortArticleID709,ArticleID709,Architecture exploration for HLS-oriented FPGA debug overlays,AuthorID440, Lang R.J.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID713",ShortArticleID713,ArticleID713,Physical-Layer Security: Does it Work in a Real Environment?,AuthorID444, Layton T.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID715",ShortArticleID715,ArticleID715,Full-Duplex Jamming for Enhanced Hidden-Key Secrecy,AuthorID446, Lee D.-J.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID716",ShortArticleID716,ArticleID716,Adaptive Physical-Layer Security Through Punctured Coding for Secrecy,AuthorID447, Lee K.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID722",ShortArticleID722,ArticleID722,Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations,AuthorID453, Lignell D.O.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID729",ShortArticleID729,ArticleID729,Hybrid power system state estimation with irregular sampling,AuthorID460, Lunt B.M.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID733",ShortArticleID733,ArticleID733,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,AuthorID464, Maccarty N.A.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID735",ShortArticleID735,ArticleID735,Whole genome phylogenetic tree reconstruction using colored de bruijn graphs,AuthorID466, Magleby S.P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID736",ShortArticleID736,ArticleID736,Modeling global and local codon bias with deep language models,AuthorID467, Magleby S.P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID744",ShortArticleID744,ArticleID744,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",AuthorID475, Magleby S.P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID751",ShortArticleID751,ArticleID751,"Multi-objective design optimization of a soft, pneumatic robot",AuthorID482, Matsubara E.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID752",ShortArticleID752,ArticleID752,Motion planning for mobile robots using inverse kinematics branching,AuthorID483, Mattson C.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID753",ShortArticleID753,ArticleID753,Space-Time Coded ARTM CPM for Aeronautical Telemetry,AuthorID484, Mattson C.A.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID755",ShortArticleID755,ArticleID755,ENIGMA military brain injury: A coordinated meta-analysis of diffusion MRI from multiple cohorts,AuthorID486, Maynes D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID764",ShortArticleID764,ArticleID764,"Factor analysis in automated face detection: Gender, occlusion, eyewear, brightness, contrast, and focus measure",AuthorID495, Meratnia N.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID771",ShortArticleID771,ArticleID771,3D printing for lab-on-a-chip devices with 20 μm channels,AuthorID502, Morgan D.C.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID772",ShortArticleID772,ArticleID772,Weighing Context and Trade-offs: How suburban adults selected their online security posture,AuthorID503, Moss N.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID773",ShortArticleID773,ArticleID773,"Is that you, Alice? A usability study of the authentication ceremony of secure messaging applications",AuthorID504, Nash R.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID775",ShortArticleID775,ArticleID775,Action needed! Helping users find and complete the authentication ceremony in signal,AuthorID506, Neilsen T.B.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,6,FullArticleID632,,,ArticleID632,Analysis of pyrolysis products from live shrub fuels,AuthorID363, He J.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,10,FullArticleID636,,,ArticleID636,One-dimensional turbulence modelling of a lifted methane/air jet flame in a vitiated coflow,AuthorID367, Hedengren J.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,15,FullArticleID643,,,ArticleID643,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,AuthorID374, Henrichsen A.M.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,23,FullArticleID644,,,ArticleID644,Using tripartite graphs to make long tail recommendations,AuthorID375, Herder J.L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,5,FullArticleID645,,,ArticleID645,CrsRecs: A personalized course recommendation system for college students,AuthorID376, High G.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,20,FullArticleID652,,,ArticleID652,Impact of particle properties on radiative heat flux in an oxy-coal reactor,AuthorID383, Hou H.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,1,FullArticleID656,,,ArticleID656,Local control and estimation performance in dynamical networks: Structural and graph-theoretic results,AuthorID387, Howell L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,12,FullArticleID663,,,ArticleID663,Development of a vortex particle code for the modeling of wake interaction in distributed propulsion,AuthorID394, Howell L.L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,1,FullArticleID664,,,ArticleID664,Evaluation and optimization of dynamic cone penetration test (DPT) for assessment of liquefaction in gravelly soils,AuthorID395, Howell L.L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,16,FullArticleID665,,,ArticleID665,"Exploration of three dimensional, hierarchical, large scale UAV system interactions",AuthorID396, Howell L.L.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,25,FullArticleID672,,,ArticleID672,Implementation of Rolling Contacts for SORCE Joints,AuthorID403, Iverson B.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,13,FullArticleID676,,,ArticleID676,Environmental and track factors that contribute to abrasion damage,AuthorID407, Jacobsen A.J.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,3,FullArticleID683,,,ArticleID683,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,AuthorID414, Jeong Y.-H.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,2,FullArticleID684,,,ArticleID684,Network Reduction in Transient Stability Models using Partial Response Matching,AuthorID415, Jesiek B.K.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,4,FullArticleID687,,,ArticleID687,Microfluidic temperature behavior in a multi-material 3D printed chip,AuthorID418, Johnson C.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,17,FullArticleID694,,,ArticleID694,Impact of computational mesh on CFD combustion predictions,AuthorID425, Kayen R.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,15,FullArticleID698,,,ArticleID698,Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,AuthorID429, Killpack M.D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,9,FullArticleID700,,,ArticleID700,Measured Polarization Components of Nonlinear Thomson Scattering,AuthorID431, King R.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,16,FullArticleID701,,,ArticleID701,Visio-acoustic data fusion for structural health monitoring applications,AuthorID432, Klein M.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,22,FullArticleID707,,,ArticleID707,A review of binarized neural networks,AuthorID438, Kurata M.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,24,FullArticleID714,,,ArticleID714,Nested QPSK Encoding for Information Theoretic Security,AuthorID445, Leary H.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,25,FullArticleID718,,,ArticleID718,An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,AuthorID449, Lemonnier D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,14,FullArticleID720,,,ArticleID720,Bias estimation for angle-only sensors in distributed multi-target tracking systems,AuthorID451, Li Y.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,29,FullArticleID721,,,ArticleID721,Toward quantitative characterization of essential tremor for future tremor suppression,AuthorID452, Lignell D.O.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,18,FullArticleID727,,,ArticleID727,Selective Laser Melting aluminum waveguide attenuation at K-band,AuthorID458, Lovasz E.-C.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,25,FullArticleID734,,,ArticleID734,Polar coding for physical-layer security without knowledge of the eavesdropper's channel,AuthorID465, Magleby S.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
,,,,30,FullArticleID738,,,ArticleID738,Layering Security at Global Control Points to Secure Unmodified Software,AuthorID469, Magleby S.P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 4,HandlerID012,03/03/2002
,,,,2,FullArticleID740,,,ArticleID740,A graduate school recommendation system using the multi-class support vector machine and KNN approaches,AuthorID471, Magleby S.P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 1,HandlerID012,03/03/2002
,,,,29,FullArticleID741,,,ArticleID741,Influence of Communication Irregularities and Co-simulation on Hybrid Power System State Estimation,AuthorID472, Magleby S.P.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 2,HandlerID012,03/03/2002
,,,,2,FullArticleID749,,,ArticleID749,Informing the use of hyperparameter optimization through metalearning,AuthorID480, Martinez T.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 3,HandlerID012,03/03/2002
,,,,3,FullArticleID756,,,ArticleID756,The polygraph: A data structure for genome alignment and variation detection,AuthorID487, Maynes D.,10,EGCID005,VCID005,IEEE Emerging IT Conference ,CID005,EmIT Ed 5,HandlerID012,03/03/2002
